SAMPLE	COHORT	MEAN_COVERAGE
HG004	ONT	81.44
REACH000626	ONT	10.51
REACH000546	ONT	10.87
REACH000683	ONT	9.97
REACH000563	ONT	8.68
REACH000581	ONT	12.32
REACH000422	ONT	10.71
REACH000435	ONT	8.97
REACH000511	ONT	8.19
REACH000557	ONT	10.95
REACH000523	ONT	8.31
REACH000592	ONT	7.09
REACH000602	ONT	7.90
REACH000543	ONT	20.19
REACH000568	ONT	13.34
REACH000661	ONT	11.54
REACH000156	ONT	6.70
REACH000513	ONT	8.75
REACH000477	ONT	14.06
REACH000685	ONT	11.88
REACH000519	ONT	9.65
REACH000603	ONT	10.85
REACH000516	ONT	9.02
REACH000414	ONT	7.24
REACH000416	ONT	13.17
HG002	ONT	44.42
REACH000547	ONT	8.43
REACH000226	ONT	29.45
REACH000663	ONT	10.64
REACH000660	ONT	8.57
REACH000682	ONT	8.63
REACH000473	ONT	5.01
REACH000424	ONT	12.01
REACH000503	ONT	8.48
REACH000517	ONT	10.43
REACH000524	ONT	7.40
REACH000449	ONT	12.72
REACH000530	ONT	6.69
REACH000401	ONT	9.44
REACH000381	ONT	10.50
REACH000531	ONT	8.91
REACH000400	ONT	10.99
REACH000442	ONT	16.56
REACH000418	ONT	10.50
REACH000529	ONT	7.75
REACH000448	ONT	9.51
REACH000514	ONT	12.98
REACH000520	ONT	9.05
REACH000425	ONT	10.82
REACH000566	ONT	10.14
REACH000515	ONT	10.58
HG003	ONT	79.65
REACH000404	ONT	10.31
REACH000412	ONT	10.57
REACH000236	ONT	40.23
REACH000426	ONT	8.79
REACH000349	ONT	7.01
REACH000532	ONT	9.70
REACH000410	ONT	8.58
REACH000415	ONT	7.92
REACH000556	ONT	11.16
REACH000476	ONT	14.20
REACH000565	ONT	9.28
REACH000409	ONT	10.92
REACH000403	ONT	11.23
REACH000352	ONT	1.67
REACH000427	ONT	20.15
REACH000380	ONT	5.42
REACH000478	ONT	17.90
REACH000662	ONT	8.22
REACH000436	ONT	10.99
REACH000580	ONT	12.63
REACH000540	ONT	11.79
REACH000001	ONT	10.15
REACH000559	ONT	8.35
REACH000413	ONT	9.11
REACH000420	ONT	9.35
REACH000561	ONT	8.34
REACH000502	ONT	10.99
REACH000562	ONT	12.53
REACH000482	ONT	17.62
REACH000479	ONT	16.01
REACH000578	ONT	10.26
REACH000428	ONT	19.66
REACH000541	ONT	13.43
REACH000544	ONT	9.27
REACH000155	ONT	6.31
REACH000542	ONT	12.68
REACH000421	ONT	12.39
REACH000558	ONT	11.54
REACH000681	ONT	10.04
REACH000480	ONT	14.27
REACH000545	ONT	3.26
REACH000402	ONT	12.17
REACH000154	ONT	10.79
REACH000419	ONT	12.68
REACH000510	ONT	10.84
REACH000579	ONT	10.80
REACH000567	ONT	8.58
REACH000483	ONT	10.23
REACH000471	ONT	5.97
REACH000437	ONT	11.16
REACH000560	ONT	9.18
REACH000684	ONT	7.84
REACH000555	ONT	10.59
REACH000512	ONT	9.92
REACH000411	ONT	7.29
REACH000564	ONT	18.10
REACH000423	ONT	9.29
REACH000518	ONT	9.47
REACH000604	ONT	9.04
REACH000501	ONT	9.65
REACH000481	ONT	13.27
REACH000417	ONT	11.36
REACH000107	ONT	9.87
REACH000233	PB	4.14
3939-3-1	PB	0.26
REACH_AN01	PB	2.26
REACH000067	PB	1.42
REACH000453	PB	7.12
REACH000162	PB	3.30
REACH000087	PB	2.75
REACH000705	PB	1.35
REACH000728	PB	0.00
REACH000196	PB	3.71
REACH000538	PB	5.53
REACH000734	PB	2.36
REACH000094	PB	4.94
REACH000294	PB	2.98
REACH000630	PB	8.18
REACH000701	PB	1.24
REACH000641	PB	3.64
REACH000195	PB	2.67
REACH000235	PB	5.07
REACH000697	PB	0.41
REACH000160	PB	2.07
REACH000058	PB	6.19
REACH000229	PB	0.29
REACH000599	PB	2.04
REACH000314	PB	4.03
REACH000653	PB	5.30
REACH000732	PB	2.33
REACH000440	PB	2.75
REACH000159	PB	2.91
REACH000439	PB	2.37
REACH000646	PB	6.03
REACH000731	PB	6.42
REACH000293	PB	3.50
REACH000365	PB	6.72
REACH000246	PB	1.80
REACH000184	PB	3.15
REACH000121	PB	3.81
REACH000703	PB	0.97
REACH000450	PB	1.67
REACH000706	PB	3.53
REACH000316	PB	3.18
REACH000729	PB	0.00
REACH000530	PB	8.16
REACH000620	PB	7.81
REACH000097	PB	5.82
REACH000182	PB	2.38
REACH000219	PB	3.76
REACH000531	PB	2.69
4691-2-1	PB	1.59
REACH000248	PB	1.23
REACH000765	PB	0.66
REACH000619	PB	6.37
REACH000597	PB	6.68
