gene_gencodeV33	FDR_TADA_ASD	FDR_TADA_DD	FDR_TADA_NDD	p_TADA_ASD	p_TADA_DD	p_TADA_NDD
SYNGAP1	0	0	0	0	0	0
CHD8	0	0	0	0	0	0
ADNP	0	0	0	0	0	0
SHANK3	0	0	0	0	0	0
SCN2A	0	0	0	0	0	0
PTEN	0	0	0	0	0	0
FOXP1	1.74E-16	0	0	7.39E-20	0	0
CHD2	3.61E-16	0	0	1.75E-19	0	0
POGZ	5.06E-16	0	0	2.76E-19	0	0
GRIN2B	3.12E-15	0	0	1.89E-18	0	0
KMT5B	3.33E-14	0	0	2.22E-17	0	0
NRXN1	9.96E-14	0.44196728	9.86E-15	7.24E-17	0.03206319	7.98E-17
ARID1B	3.02E-12	0	0	2.38E-15	0	0
KDM5B	8.93E-12	0	0	7.57E-15	0	0
ASH1L	1.46E-11	2.49E-05	2.46E-17	1.32E-14	3.60E-07	1.74E-19
SLC6A1	2.24E-11	0	0	2.17E-14	0	0
ASXL3	9.29E-11	0	0	9.56E-14	0	0
DYRK1A	2.68E-10	0	0	2.92E-13	0	0
GIGYF1	1.80E-09	9.69E-07	1.02E-15	2.07E-12	1.18E-08	7.78E-18
DYNC1H1	3.25E-09	0	0	3.93E-12	0	0
NF1	8.41E-09	2.32E-06	7.79E-15	1.07E-11	2.96E-08	6.26E-17
DLG4	1.79E-08	0	0	2.39E-11	0	0
MBD5	3.17E-08	8.81E-12	0	4.41E-11	7.13E-14	0
STXBP1	8.15E-08	0	0	1.18E-10	0	0
MED13	1.39E-07	0.00140044	8.05E-11	2.10E-10	2.67E-05	8.38E-13
RFX3	2.84E-07	0.000416586	5.57E-11	4.47E-10	7.37E-06	5.69E-13
DEAF1	4.61E-07	2.09E-13	0	7.53E-10	1.58E-15	0
SATB2	6.61E-07	0	0	1.12E-09	0	0
SETD5	1.13E-06	0	0	1.98E-09	0	0
RORB	1.74E-06	0.000437192	1.60E-10	3.17E-09	7.76E-06	1.71E-12
AP2S1	2.34E-06	2.18E-05	8.48E-12	4.39E-09	3.13E-07	8.14E-14
MED13L	2.90E-06	0	0	5.62E-09	0	0
EHMT1	3.72E-06	0	0	7.44E-09	0	0
CUL3	4.80E-06	5.55E-09	1.86E-14	9.87E-09	5.56E-11	1.54E-16
KDM6B	5.82E-06	3.59E-16	0	1.23E-08	2.36E-18	0
BRSK2	6.97E-06	0.409747352	5.43E-07	1.52E-08	0.027574216	7.90E-09
ANK2	8.13E-06	0.133368078	1.52E-07	1.82E-08	0.00491014	2.08E-09
NIPBL	9.95E-06	0.014825475	2.83E-08	2.29E-08	0.000354337	3.60E-10
TLK2	1.18E-05	0	0	2.77E-08	0	0
ATP2B2	1.39E-05	4.08E-05	1.22E-10	3.36E-08	6.10E-07	1.29E-12
KMT2C	1.59E-05	1.78E-09	5.85E-15	3.95E-08	1.72E-11	4.66E-17
SCN1A	1.95E-05	0	0	4.97E-08	0	0
EBF3	2.35E-05	0	0	6.13E-08	0	0
DNMT3A	2.76E-05	0	0	7.36E-08	0	0
SMARCC2	3.18E-05	0.567021225	5.54E-06	8.65E-08	0.057014649	8.97E-08
KCNQ3	3.62E-05	7.76E-16	0	1.01E-07	5.15E-18	0
SPAST	4.27E-05	1.11E-10	1.35E-15	1.22E-07	9.75E-13	1.04E-17
WAC	5.05E-05	0	0	1.47E-07	0	0
PHF21A	6.07E-05	1.07E-06	2.09E-11	1.80E-07	1.31E-08	2.06E-13
CTNNB1	7.79E-05	0	0	2.36E-07	0	0
IRF2BPL	9.46E-05	8.71E-18	0	2.92E-07	5.36E-20	0
TAOK1	0.000111241	6.20E-13	5.89E-17	3.50E-07	4.75E-15	4.25E-19
SKI	0.000132942	5.97E-12	2.83E-16	4.27E-07	4.80E-14	2.10E-18
ANKRD11	0.000158359	0	0	5.18E-07	0	0
KMT2A	0.000183504	0	0	6.11E-07	0	0
DLL1	0.000208116	0.007116376	3.32E-07	7.06E-07	0.00015677	4.73E-09
NAA15	0.000237665	0	0	8.20E-07	0	0
KCNMA1	0.000267133	0.000183236	1.55E-08	9.38E-07	3.02E-06	1.91E-10
ZBTB20	0.000298029	2.25E-08	1.11E-12	1.06E-06	2.36E-10	1.02E-14
KCNB1	0.000329009	0	0	1.20E-06	0	0
DSCAM	0.000360919	0.736696498	0.000163788	1.33E-06	0.136101865	3.27E-06
MED23	0.000393791	0.829911345	0.000177757	1.48E-06	0.272334823	3.57E-06
TCF7L2	0.000433199	2.89E-07	3.67E-11	1.65E-06	3.31E-09	3.68E-13
VEZF1	0.000471749	8.31E-05	1.29E-08	1.83E-06	1.30E-06	1.57E-10
GABRA1	0.000510433	3.08E-13	4.19E-17	2.01E-06	2.34E-15	2.99E-19
AUTS2	0.000566679	0	0	2.26E-06	0	0
PLXNA1	0.000625336	0.66989398	0.000313945	2.54E-06	0.094083746	6.62E-06
CTCF	0.000683568	0	0	2.81E-06	0	0
CASKIN1	0.000747162	0.726166603	0.000373476	3.12E-06	0.127845323	7.99E-06
TCF20	0.000809854	0	0	3.43E-06	0	0
MEIS2	0.000875143	1.36E-07	7.04E-11	3.76E-06	1.52E-09	7.29E-13
PIK3CA	0.000951668	4.18E-09	7.41E-13	4.15E-06	4.16E-11	6.74E-15
CHD3	0.001040985	0	0	4.60E-06	0	0
CREBBP	0.001136478	0	0	5.09E-06	0	0
CSNK2A1	0.001232673	0	0	5.60E-06	0	0
SHANK2	0.001342108	0.042847439	1.08E-05	6.18E-06	0.001199927	1.81E-07
PACS1	0.001452097	0	0	6.77E-06	0	0
PAX5	0.001559806	0.726396569	0.00091007	7.37E-06	0.128017334	2.11E-05
ACVR2A	0.001682385	0.728294731	0.000989711	8.05E-06	0.129450762	2.32E-05
TCF4	0.001803644	0	0	8.74E-06	0	0
ITPR3	0.001942728	0.685243664	0.001074697	9.53E-06	0.101946917	2.53E-05
MYT1L	0.00208452	2.24E-18	0	1.03E-05	1.34E-20	0
UBR5	0.002224383	0.266905061	0.000150918	1.12E-05	0.013177173	2.99E-06
MEF2C	0.002368719	0	0	1.20E-05	0	0
NRXN3	0.002537942	0.710746787	0.001570393	1.31E-05	0.117065947	3.84E-05
TSC1	0.002705594	0.117277356	6.05E-05	1.41E-05	0.004147858	1.12E-06
HNRNPUL2	0.002885348	0.752024858	0.001811707	1.52E-05	0.149690759	4.50E-05
KIF1B	0.003066655	0.728970204	0.001938915	1.63E-05	0.129966795	4.85E-05
TBL1XR1	0.003254315	0	0	1.75E-05	0	0
CDK13	0.003437815	0	0	1.87E-05	0	0
PRH1	0.003625124	0.902976448	0.002028472	2.00E-05	0.756718671	5.10E-05
CGREF1	0.003813856	0.912169186	0.002075636	2.12E-05	0.950174057	5.23E-05
CAMTA2	0.004019038	0.459590649	0.000683288	2.26E-05	0.034784107	1.54E-05
MLXIP	0.004241043	0.777269307	0.00248804	2.41E-05	0.177327243	6.40E-05
SRPRA	0.00445973	0.146192147	0.000133498	2.57E-05	0.005549921	2.62E-06
SMARCA2	0.004714343	0	0	2.74E-05	0	0
ZNF292	0.004993184	0	0	2.93E-05	0	0
INTS3	0.005290025	0.761892245	0.003327496	3.14E-05	0.159610078	8.83E-05
SYNCRIP	0.005597253	2.33E-05	3.18E-08	3.36E-05	3.36E-07	4.07E-10
PBX1	0.005916762	4.30E-12	1.23E-14	3.58E-05	3.43E-14	1.00E-16
GABBR2	0.006237867	0.008491201	1.01E-05	3.81E-05	0.000190644	1.69E-07
PHF2	0.006568704	0.731704441	0.003716591	4.06E-05	0.132088268	9.98E-05
MARK2	0.006896053	0.000192193	3.06E-07	4.30E-05	3.18E-06	4.34E-09
SYT1	0.007246471	1.61E-10	3.82E-13	4.56E-05	1.43E-12	3.43E-15
ANKH	0.007592661	0.829356612	0.004333854	4.83E-05	0.270901395	0.000118256
CTNNA2	0.007945586	0.053358878	9.49E-05	5.10E-05	0.001555485	1.81E-06
NCKAP1	0.008298073	0.702117685	0.00461171	5.38E-05	0.111618922	0.000126706
UBR1	0.008648632	0.794874788	0.004799708	5.66E-05	0.20192486	0.000132473
TLE4	0.008999931	0.564942636	0.002544632	5.94E-05	0.056464674	6.56E-05
TRIP12	0.009346011	0	0	6.22E-05	0	0
APBB1	0.00969151	0.787013974	0.005273945	6.51E-05	0.190285428	0.000147216
CAPRIN1	0.010035543	0.262817529	0.000642211	6.81E-05	0.012864335	1.44E-05
KDM3B	0.010380558	0.042319311	7.35E-05	7.10E-05	0.001182583	1.38E-06
FBXO11	0.010729001	3.33E-18	0	7.41E-05	2.01E-20	0
C16orf72	0.011078231	0.775328513	0.005565828	7.71E-05	0.174919084	0.000156411
DPYSL2	0.011434728	0.769435283	0.006075768	8.03E-05	0.167923958	0.000172647
KCNH7	0.011805249	0.574343727	0.002974386	8.36E-05	0.058998855	7.80E-05
SLC9A3	0.012171009	0.78377749	0.006390109	8.70E-05	0.185813134	0.000182782
CSNK1E	0.012531386	0.003499138	7.52E-06	9.03E-05	7.20E-05	1.24E-07
TBR1	0.012899453	0.00027884	4.43E-07	9.37E-05	4.76E-06	6.39E-09
OBSCN	0.013265965	0.876876244	0.006715694	9.72E-05	0.472555987	0.000193359
ZMYM2	0.013634341	6.14E-07	1.36E-09	0.000100717	7.30E-09	1.53E-11
ATG9B	0.014013004	0.89315002	0.007391289	0.000104363	0.619109623	0.000215592
PSMD11	0.014418065	0.60892009	0.004152834	0.000108253	0.069496667	0.000112796
PRR12	0.014828787	6.82E-10	1.91E-12	0.000112234	6.38E-12	1.78E-14
PTGDR2	0.015233121	0.909678749	0.007635061	0.000116217	0.889052705	0.000223661
TNPO3	0.015637229	0.000382614	9.41E-07	0.000120247	6.72E-06	1.41E-08
AHDC1	0.016042089	0	0	0.000124332	0	0
YWHAG	0.016446868	4.41E-06	2.00E-08	0.000128465	5.80E-08	2.50E-10
TLE3	0.016846761	0.230285756	0.000770074	0.000132608	0.010521438	1.76E-05
ZNF462	0.017259923	0.006085928	1.45E-05	0.000136905	0.000131866	2.47E-07
GRIA2	0.017690436	1.58E-06	5.50E-09	0.000141391	1.97E-08	6.45E-11
TAF4	0.018115976	0.705001119	0.008701668	0.000145889	0.113396373	0.000259272
CELF1	0.018572231	0.729269095	0.009814436	0.000150688	0.130196144	0.000297353
CACNA1E	0.019052029	2.65E-05	8.98E-08	0.000155735	3.86E-07	1.20E-09
SIN3A	0.019554936	0	0	0.00016103	0	0
ATG13	0.020056678	0.453619972	0.003182898	0.000166376	0.03383941	8.41E-05
HECTD4	0.020554937	0.022110472	7.69E-05	0.000171754	0.00055781	1.45E-06
PHF12	0.021047707	0.000142212	4.87E-07	0.000177146	2.30E-06	7.06E-09
CYLD	0.021536924	0.74285469	0.012363457	0.000182567	0.141319542	0.000387766
ATP1A3	0.02204825	0	0	0.000188236	0	0
RAI1	0.022554993	1.52E-09	6.14E-12	0.000193929	1.45E-11	5.85E-14
ATP4A	0.023057987	0.864337179	0.013160883	0.000199649	0.397616393	0.000416904
PRDM16	0.023560264	0.692974942	0.012680006	0.000205425	0.106233965	0.000399285
ADCY5	0.024062172	7.33E-06	3.55E-08	0.000211258	9.91E-08	4.57E-10
CYFIP2	0.024587837	0.515039242	0.005464431	0.000217362	0.044855819	0.000153219
PTPRF	0.025109724	0.618688867	0.008020492	0.000223496	0.072852039	0.000236461
ROPN1	0.025633446	0.904414437	0.013995838	0.00022971	0.781832322	0.000447743
HDAC4	0.026150461	0.007685334	2.89E-05	0.000235926	0.000170696	5.10E-07
ACLY	0.026681692	0.675973179	0.012999529	0.000242334	0.097099851	0.000410978
DIP2A	0.027227531	0.796407429	0.016112281	0.000248941	0.204333018	0.000527579
DEDD	0.027807206	0.55356899	0.007510297	0.000255924	0.053557145	0.000219535
ZMYND8	0.02838036	0.00934799	4.68E-05	0.000262918	0.000212138	8.52E-07
XPO1	0.028967626	0.000486227	2.53E-06	0.000270112	8.69E-06	3.93E-08
RALGAPB	0.029564471	0.709601613	0.01799217	0.000277468	0.116320565	0.00060042
PPP1R9B	0.030162699	0.72723575	0.018383353	0.000284908	0.128648042	0.000615781
SLC6A2	0.03076779	0.476085376	0.005666795	0.000292487	0.037526681	0.000159604
AGO4	0.031396172	0.748480859	0.020567573	0.000300362	0.146365207	0.000703137
EFTUD2	0.032046306	0	0	0.000308522	0	0
SPEN	0.032689188	1.56E-11	7.95E-14	0.00031669	1.28E-13	6.84E-16
FAM120A	0.033324909	0.686718083	0.019569064	0.000324867	0.102746527	0.000662863
ITSN1	0.03395524	0.74983997	0.022409326	0.000333068	0.147626623	0.000778751
NACC1	0.034605665	8.61E-06	5.79E-08	0.000341543	1.18E-07	7.59E-10
USP49	0.035264171	0.794059704	0.024497779	0.000350177	0.200663444	0.000866694
MYO18A	0.035917392	0.774483328	0.024707598	0.000358839	0.173887017	0.000875667
CORO1A	0.036580488	0.786932563	0.025133173	0.000367678	0.190170754	0.000893903
H3-3A	0.037243715	5.45E-17	0	0.0003766	3.55E-19	0
CAMK2A	0.037916038	0.002512039	1.56E-05	0.000385694	5.02E-05	2.65E-07
BTG3	0.038581293	0.804063027	0.025567221	0.000394797	0.217119192	0.000912548
MAPK8IP3	0.03925468	0.005921048	4.46E-05	0.000404065	0.000127936	8.09E-07
HNRNPD	0.039931912	3.63E-07	2.06E-09	0.000413454	4.21E-09	2.34E-11
ZMYND11	0.040602561	6.72E-14	6.07E-16	0.000422856	4.95E-16	4.57E-18
DIP2C	0.041279147	0.721385848	0.026922846	0.000432402	0.124347759	0.000971066
SYK	0.041958435	0.734940047	0.027152971	0.000442058	0.134668438	0.00098107
CELF2	0.042632181	0.038233574	0.000282811	0.000451738	0.00104995	5.91E-06
INO80D	0.043302096	0.668364914	0.023445824	0.000461458	0.093344587	0.000822124
KPNA1	0.043972429	0.140090666	0.001136331	0.000471264	0.005242193	2.69E-05
NAV3	0.044643901	0.734585279	0.027852452	0.000481164	0.134381752	0.001011584
GABRB3	0.045335506	3.43E-11	2.55E-13	0.000491363	2.90E-13	2.26E-15
MRFAP1	0.046023154	0.894606599	0.029512122	0.000501602	0.636425428	0.001084821
NAA25	0.046709473	0.525824208	0.011590615	0.000511911	0.047128018	0.000359892
TRAF2	0.047394031	0.713605352	0.030704752	0.000522283	0.118958072	0.001138291
RAB11FIP4	0.048072909	0.773772735	0.030942799	0.000532675	0.17302696	0.001149057
CACNA1D	0.04875383	0.746407229	0.031657807	0.000543172	0.144473083	0.001181566
PSMD12	0.049434653	0.142126849	0.001270723	0.00055375	0.005344121	3.04E-05
KCNJ6	0.050114779	0.831588317	0.032137522	0.000564403	0.27674978	0.001203502
BTBD10	0.050794055	0.84714524	0.03238	0.000575129	0.324568924	0.001214614
TNRC6B	0.051470009	0.000289035	1.20E-06	0.000585899	4.95E-06	1.80E-08
NSD1	0.052141265	0	0	0.000596697	0	0
CLPTM1	0.052845846	0.788265539	0.03413151	0.00060796	0.192062878	0.001295302
MKX	0.053548866	0.456622664	0.008840326	0.00061929	0.034311441	0.000263958
HNRNPU	0.05424917	0	0	0.000630674	0	0
CENPV	0.054949985	0.862978539	0.035645109	0.000642149	0.390793278	0.001366159
CUX2	0.055645548	0.73550525	0.036147737	0.000653646	0.135127135	0.001389958
SETD1B	0.056337784	5.03E-07	4.76E-09	0.000665189	5.92E-09	5.55E-11
SNRNP200	0.057026694	0.604860316	0.020971041	0.000676776	0.068157171	0.000719561
MCOLN1	0.05771801	0.69955184	0.036654491	0.000688475	0.110071042	0.001414042
MRTFA	0.058406987	0.764563471	0.037666346	0.00070023	0.162476933	0.001462528
ARIH1	0.059103962	0.00337664	3.83E-05	0.000712164	6.93E-05	6.88E-07
PPARG	0.059801304	0.849781732	0.038177491	0.000724188	0.33414422	0.001487165
PHLDB1	0.060493844	0.019627733	0.000199085	0.000736237	0.000486882	4.03E-06
SETBP1	0.061185796	2.97E-15	8.04E-17	0.000748363	2.01E-17	5.85E-19
CASZ1	0.061873848	0.048804444	0.000520402	0.000760525	0.001399153	1.15E-05
QRICH1	0.062558194	4.96E-14	8.02E-16	0.000772725	3.62E-16	6.09E-18
DMPK	0.063236932	0.584290772	0.020366315	0.000784938	0.061819158	0.000694979
