gene	lof.oe_ci.upper
A1BG	1.2570e+00
A1CF	7.8900e-01
A2M	7.6600e-01
A2ML1	8.2900e-01
A3GALT2	1.5300e+00
A4GALT	1.3940e+00
A4GNT	1.3770e+00
AAAS	8.5200e-01
AACS	9.4500e-01
AADAC	1.0310e+00
AADACL2	1.5300e+00
AADACL3	1.2510e+00
AADACL4	1.0640e+00
AADAT	6.0500e-01
AAGAB	1.1570e+00
AAK1	3.3600e-01
AAMDC	1.5060e+00
AAMP	3.7300e-01
AANAT	9.6200e-01
AAR2	1.4740e+00
AARD	1.7190e+00
AARS1	7.4400e-01
AARS2	7.2800e-01
AARSD1	1.1230e+00
AASDH	9.0400e-01
AASDHPPT	7.5400e-01
AASS	9.4900e-01
AATF	1.0170e+00
AATK	1.5350e+00
ABAT	8.0900e-01
ABCA1	5.6300e-01
ABCA10	1.0450e+00
ABCA12	5.6100e-01
ABCA13	1.0270e+00
ABCA2	4.3600e-01
ABCA3	6.1000e-01
ABCA4	7.8700e-01
ABCA5	9.5300e-01
ABCA6	1.0350e+00
ABCA7	1.0900e+00
ABCA8	1.0190e+00
ABCA9	9.9400e-01
ABCB1	5.7600e-01
ABCB10	1.0290e+00
ABCB11	7.0900e-01
ABCB4	6.0100e-01
ABCB5	1.1350e+00
ABCB6	9.8500e-01
ABCB7	1.0800e-01
ABCB8	8.8700e-01
ABCB9	7.5500e-01
ABCC1	5.4200e-01
ABCC10	8.9500e-01
ABCC11	9.9800e-01
ABCC12	1.0170e+00
ABCC2	9.8200e-01
ABCC3	8.3200e-01
ABCC4	6.3700e-01
ABCC5	4.0900e-01
ABCC6	8.8200e-01
ABCC8	6.2200e-01
ABCC9	5.4000e-01
ABCD1	1.5000e-01
ABCD2	6.2800e-01
ABCD3	4.8100e-01
ABCD4	7.5900e-01
ABCE1	4.6600e-01
ABCF1	6.8800e-01
ABCF2	6.1100e-01
ABCF2-H2BE1	6.3400e-01
ABCF3	7.5700e-01
ABCG1	5.2100e-01
ABCG2	1.2740e+00
ABCG4	6.9400e-01
ABCG5	1.1730e+00
ABCG8	1.3020e+00
ABHD1	1.2970e+00
ABHD10	1.0380e+00
ABHD11	1.1350e+00
ABHD12	7.5800e-01
ABHD12B	1.0810e+00
ABHD13	5.0400e-01
ABHD14A	9.0900e-01
ABHD14A-ACY1	8.2100e-01
ABHD14B	1.7900e+00
ABHD15	1.4800e+00
ABHD16A	6.8600e-01
ABHD16B	1.9550e+00
ABHD17A	6.8700e-01
ABHD17B	5.8000e-01
ABHD17C	7.1800e-01
ABHD18	1.0240e+00
ABHD2	5.7100e-01
ABHD3	1.1720e+00
ABHD4	1.0390e+00
ABHD5	7.7500e-01
ABHD6	1.0580e+00
ABHD8	6.6400e-01
ABI1	3.2900e-01
ABI2	5.2300e-01
ABI3	1.0620e+00
ABI3BP	8.7500e-01
ABITRAM	1.1080e+00
ABL1	1.9000e-01
ABL2	5.5300e-01
ABLIM1	4.6700e-01
ABLIM2	6.5000e-01
ABLIM3	6.5300e-01
ABO	1.2940e+00
ABR	4.2400e-01
ABRA	9.9400e-01
ABRACL	1.2440e+00
ABRAXAS1	1.2930e+00
ABRAXAS2	6.4100e-01
ABT1	1.2010e+00
ABTB1	9.4500e-01
ABTB2	7.3300e-01
ACAA1	1.1200e+00
ACAA2	1.1330e+00
ACACA	3.4500e-01
ACACB	8.4400e-01
ACAD10	1.0510e+00
ACAD11	1.0110e+00
ACAD8	9.8600e-01
ACAD9	7.7900e-01
ACADL	1.2040e+00
ACADM	9.9200e-01
ACADS	8.5200e-01
ACADSB	7.8300e-01
ACADVL	9.7100e-01
ACAN	3.5100e-01
ACAP1	4.9800e-01
ACAP2	4.1700e-01
ACAP3	7.9000e-01
ACAT1	7.5400e-01
ACAT2	9.9100e-01
ACBD3	6.3400e-01
ACBD4	9.1200e-01
ACBD5	6.9200e-01
ACBD6	1.0380e+00
ACBD7	1.5170e+00
ACCS	8.9700e-01
ACCSL	1.0380e+00
ACD	9.0700e-01
ACE	7.8600e-01
ACE2	2.5000e-01
ACER1	1.2020e+00
ACER2	1.0730e+00
ACER3	6.4900e-01
ACHE	4.8600e-01
ACIN1	1.5000e-01
ACKR1	1.8410e+00
ACKR2	1.8340e+00
ACKR3	4.9200e-01
ACKR4	1.2190e+00
ACLY	4.0000e-01
ACMSD	1.0270e+00
ACO1	8.4000e-01
ACO2	4.6500e-01
ACOD1	1.5250e+00
ACOT1	1.3980e+00
ACOT11	1.0890e+00
ACOT12	8.8500e-01
ACOT13	1.2150e+00
ACOT2	1.1630e+00
ACOT4	1.5870e+00
ACOT6	1.8370e+00
ACOT7	3.5900e-01
ACOT8	1.0970e+00
ACOT9	1.1640e+00
ACOX1	6.2900e-01
ACOX2	8.9600e-01
ACOX3	1.0870e+00
ACOXL	1.0970e+00
ACP1	1.5480e+00
ACP2	6.9600e-01
ACP3	1.0790e+00
ACP4	1.4140e+00
ACP5	1.1420e+00
ACP6	1.1830e+00
ACP7	1.1020e+00
ACR	9.4400e-01
ACRBP	9.1200e-01
ACRV1	7.3800e-01
ACSBG1	5.5500e-01
ACSBG2	8.9300e-01
ACSF2	8.4500e-01
ACSF3	1.6270e+00
ACSL1	4.7500e-01
ACSL3	5.7100e-01
ACSL4	3.0600e-01
ACSL5	6.6200e-01
ACSL6	5.8400e-01
ACSM1	1.2230e+00
ACSM2A	1.2080e+00
ACSM2B	9.3700e-01
ACSM3	1.0000e+00
ACSM4	1.0730e+00
ACSM5	9.8800e-01
ACSM6	9.1300e-01
ACSS1	7.1300e-01
ACSS2	7.4600e-01
ACSS3	8.8900e-01
ACTA1	9.0300e-01
ACTA2	4.7200e-01
ACTB	1.0200e-01
ACTBL2	1.6260e+00
ACTC1	5.1200e-01
ACTG1	5.8100e-01
ACTG2	6.2600e-01
ACTL10	1.9470e+00
ACTL6A	1.8600e-01
ACTL6B	9.5500e-01
ACTL7A	1.1830e+00
ACTL7B	1.4150e+00
ACTL8	7.5700e-01
ACTL9	1.5760e+00
ACTN1	3.0600e-01
ACTN2	4.3200e-01
ACTN3	9.0000e-01
ACTN4	2.3600e-01
ACTR10	1.0770e+00
ACTR1A	3.3700e-01
ACTR1B	8.3700e-01
ACTR2	1.7700e-01
ACTR3	4.5800e-01
ACTR3B	2.7000e-01
ACTR3C	1.0400e+00
ACTR5	9.8700e-01
ACTR6	9.9400e-01
ACTR8	1.0340e+00
ACTRT1	1.6110e+00
ACTRT2	1.3080e+00
ACTRT3	1.2440e+00
ACVR1	8.3600e-01
ACVR1B	3.4900e-01
ACVR1C	6.0100e-01
ACVR2A	2.2200e-01
ACVR2B	3.7700e-01
ACVRL1	4.6500e-01
ACY1	8.3700e-01
ACY3	1.1710e+00
ACYP1	1.1150e+00
ACYP2	1.6970e+00
ADA	1.1850e+00
ADA2	8.8000e-01
ADAD1	7.7900e-01
ADAD2	1.5250e+00
ADAL	1.1290e+00
ADAM10	2.7600e-01
ADAM11	5.8500e-01
ADAM12	7.8700e-01
ADAM15	7.5100e-01
ADAM17	5.6500e-01
ADAM18	1.5870e+00
ADAM19	6.9000e-01
ADAM2	1.1890e+00
ADAM20	1.9330e+00
ADAM21	1.9130e+00
ADAM22	4.4900e-01
ADAM23	4.1600e-01
ADAM28	1.2310e+00
ADAM29	1.5080e+00
ADAM30	1.9030e+00
ADAM32	1.0180e+00
ADAM33	1.2920e+00
ADAM7	1.1030e+00
ADAM8	1.3760e+00
ADAM9	5.6100e-01
ADAMDEC1	1.2350e+00
ADAMTS1	3.0300e-01
ADAMTS10	4.6800e-01
ADAMTS12	7.5800e-01
ADAMTS13	9.0800e-01
ADAMTS14	8.4500e-01
ADAMTS15	5.4000e-01
ADAMTS16	7.6900e-01
ADAMTS17	9.1400e-01
ADAMTS18	1.0160e+00
ADAMTS19	7.3400e-01
ADAMTS2	5.6800e-01
ADAMTS20	9.1700e-01
ADAMTS3	6.5200e-01
ADAMTS4	7.3300e-01
ADAMTS5	8.1900e-01
ADAMTS6	2.1200e-01
ADAMTS7	7.3700e-01
ADAMTS8	1.0430e+00
ADAMTS9	4.7000e-01
ADAMTSL1	7.2400e-01
ADAMTSL2	6.8000e-01
ADAMTSL3	6.5900e-01
ADAMTSL4	9.2100e-01
ADAMTSL5	1.3900e+00
ADAP1	9.0300e-01
ADAP2	9.8100e-01
ADAR	3.6500e-01
ADARB1	3.2300e-01
ADARB2	5.4600e-01
ADAT1	1.0330e+00
ADAT2	1.3270e+00
ADAT3	1.9290e+00
ADCK1	9.1600e-01
ADCK2	7.8300e-01
ADCK5	9.8500e-01
ADCY1	3.4600e-01
ADCY10	8.8700e-01
ADCY2	3.2900e-01
ADCY3	6.6400e-01
ADCY4	1.0900e+00
ADCY5	3.2000e-01
ADCY6	6.1500e-01
ADCY7	6.4700e-01
ADCY8	5.7800e-01
ADCY9	6.0400e-01
ADCYAP1	8.6500e-01
ADCYAP1R1	7.6700e-01
ADD1	3.7900e-01
ADD2	3.5600e-01
ADD3	3.2900e-01
ADGB	9.3400e-01
ADGRA1	1.0260e+00
ADGRA2	9.3600e-01
ADGRA3	5.9000e-01
ADGRB1	3.3800e-01
ADGRB2	3.5500e-01
ADGRB3	2.4600e-01
ADGRD1	7.6400e-01
ADGRE1	9.4400e-01
ADGRE2	1.0260e+00
ADGRE3	1.2580e+00
ADGRE5	8.8500e-01
ADGRF1	1.1900e+00
ADGRF2	1.1840e+00
ADGRF3	9.4600e-01
ADGRF4	1.3080e+00
ADGRF5	7.1700e-01
ADGRG1	7.6900e-01
ADGRG3	8.4600e-01
ADGRG5	9.3900e-01
ADGRG6	6.2100e-01
ADGRG7	1.1800e+00
ADGRL1	3.0200e-01
ADGRL2	2.8300e-01
ADGRL3	4.0000e-01
ADGRL4	1.4420e+00
ADGRV1	6.1800e-01
ADH1A	1.1050e+00
ADH1B	1.0140e+00
ADH1C	9.9200e-01
ADH4	1.0780e+00
ADH5	1.0600e+00
ADH6	1.1360e+00
ADH7	1.2960e+00
ADHFE1	9.0700e-01
ADI1	1.5870e+00
ADIG	1.6760e+00
ADIPOQ	1.6560e+00
ADIPOR1	5.7200e-01
ADIPOR2	6.3700e-01
ADIRF	1.7090e+00
ADK	7.6600e-01
ADM	5.7100e-01
ADM2	1.9010e+00
ADM5	1.8180e+00
ADNP	1.0600e-01
ADNP2	8.9600e-01
ADO	1.4780e+00
ADORA1	5.9800e-01
ADORA2A	5.9100e-01
ADORA2B	1.4130e+00
ADORA3	1.2050e+00
ADPGK	7.3600e-01
ADPRH	1.1660e+00
ADPRHL1	1.0550e+00
ADPRM	9.5700e-01
ADPRS	9.9000e-01
ADRA1A	1.3440e+00
ADRA1B	1.2440e+00
ADRA1D	1.7730e+00
ADRA2A	1.7830e+00
ADRA2B	1.5570e+00
ADRA2C	8.1500e-01
ADRB1	1.9390e+00
ADRB2	9.0200e-01
ADRB3	1.9530e+00
ADRM1	1.8800e-01
ADSL	8.8500e-01
ADSS1	1.1760e+00
ADSS2	6.4600e-01
ADTRP	1.0630e+00
AEBP1	7.2800e-01
AEBP2	3.7900e-01
AEN	1.4570e+00
AFAP1	7.9500e-01
AFAP1L1	9.0200e-01
AFAP1L2	5.1500e-01
AFDN	1.7300e-01
AFF1	4.1800e-01
AFF2	2.7500e-01
AFF3	3.1800e-01
AFF4	1.0300e-01
AFG1L	9.2400e-01
AFG3L2	7.1500e-01
AFM	1.4220e+00
AFMID	1.0190e+00
AFP	9.6400e-01
AFTPH	1.7300e-01
AGA	9.3900e-01
AGAP1	3.1300e-01
AGAP2	4.1400e-01
AGAP3	2.0800e-01
AGAP4	7.6200e-01
AGAP5	7.1700e-01
AGAP6	7.5700e-01
AGAP9	8.2400e-01
AGBL1	1.3110e+00
AGBL2	9.2600e-01
AGBL3	7.6500e-01
AGBL4	1.0230e+00
AGBL5	7.0800e-01
AGER	1.0330e+00
AGFG1	1.5700e-01
AGFG2	7.4300e-01
AGGF1	8.0900e-01
AGK	9.1900e-01
AGL	7.1500e-01
AGMAT	1.7130e+00
AGMO	1.5330e+00
AGO1	1.6300e-01
AGO2	9.6000e-02
AGO3	2.2300e-01
AGO4	3.9400e-01
AGPAT1	3.6700e-01
AGPAT2	1.1540e+00
AGPAT3	2.1000e-01
AGPAT4	4.6100e-01
AGPAT5	1.3920e+00
AGPS	3.0100e-01
AGR2	1.3410e+00
AGR3	1.9080e+00
AGRN	7.2600e-01
AGRP	1.0920e+00
AGT	1.2020e+00
AGTPBP1	5.0600e-01
AGTR1	1.1140e+00
AGTR2	1.3120e+00
AGTRAP	8.3900e-01
AGXT	1.2520e+00
AGXT2	1.1840e+00
AHCTF1	1.0600e-01
AHCY	6.7700e-01
AHCYL1	3.1500e-01
AHCYL2	4.2400e-01
AHDC1	1.6800e-01
AHI1	8.8400e-01
AHNAK	3.7000e-01
AHNAK2	8.9100e-01
AHR	6.0100e-01
AHRR	8.5100e-01
AHSA1	5.0600e-01
AHSG	1.0040e+00
AHSP	1.9210e+00
AICDA	1.1450e+00
AIDA	5.2800e-01
AIF1	1.4090e+00
AIF1L	9.0300e-01
AIFM1	2.3400e-01
AIFM2	1.4050e+00
AIFM3	1.0950e+00
AIG1	1.1500e+00
AIM2	1.0240e+00
AIMP1	8.6100e-01
AIMP2	1.1000e+00
AIP	6.2100e-01
AIPL1	8.4000e-01
AIRE	1.1700e+00
AJAP1	3.7600e-01
AJM1	1.1630e+00
