gene	lof.pLI
A1BG	1.8144e-07
A1CF	6.6917e-03
A2M	7.4123e-02
A2ML1	1.9962e-01
A3GALT2	1.0075e-06
A4GALT	7.5456e-02
A4GNT	1.9099e-02
AAAS	8.1278e-05
AACS	2.7858e-14
AADAC	8.0751e-03
AADACL2	1.9264e-06
AADACL3	1.7626e-03
AADACL4	3.1892e-01
AADAT	8.6273e-01
AAGAB	9.6738e-04
AAK1	1.0000e+00
AAMDC	1.0702e-04
AAMP	9.9998e-01
AANAT	5.5766e-03
AAR2	4.8929e-10
AARD	4.2732e-04
AARS1	3.5735e-12
AARS2	1.4720e-09
AARSD1	6.4643e-07
AASDH	1.7135e-06
AASDHPPT	1.9087e-01
AASS	3.2322e-08
AATF	8.8531e-06
AATK	7.1788e-02
ABAT	1.8486e-01
ABCA1	6.4707e-03
ABCA10	1.3855e-02
ABCA12	5.3186e-01
ABCA13	1.7579e-04
ABCA2	9.9999e-01
ABCA3	2.6785e-02
ABCA4	1.5484e-21
ABCA5	1.3820e-01
ABCA6	3.4005e-04
ABCA7	5.8385e-06
ABCA8	3.3276e-05
ABCA9	3.8239e-02
ABCB1	1.4549e-01
ABCB10	3.0914e-10
ABCB11	2.7750e-02
ABCB4	8.6675e-02
ABCB5	2.9097e-05
ABCB6	8.8986e-24
ABCB7	9.9994e-01
ABCB8	7.1218e-04
ABCB9	7.6314e-01
ABCC1	2.7558e-04
ABCC10	1.0010e-01
ABCC11	4.4704e-04
ABCC12	1.3874e-05
ABCC2	6.4427e-06
ABCC3	1.4239e-02
ABCC4	3.1693e-05
ABCC5	1.0000e+00
ABCC6	6.8699e-02
ABCC8	1.6577e-01
ABCC9	7.5085e-01
ABCD1	9.9896e-01
ABCD2	2.1695e-01
ABCD3	9.9207e-01
ABCD4	7.6624e-04
ABCE1	9.9647e-01
ABCF1	1.0717e-03
ABCF2	6.6390e-01
ABCF2-H2BE1	3.0333e-04
ABCF3	4.0149e-09
ABCG1	8.8708e-01
ABCG2	7.7628e-06
ABCG4	1.4701e-01
ABCG5	4.1415e-09
ABCG8	3.2226e-17
ABHD1	2.7968e-06
ABHD10	2.5507e-03
ABHD11	1.1694e-04
ABHD12	4.0529e-02
ABHD12B	8.3068e-08
ABHD13	9.7664e-01
ABHD14A	6.8314e-02
ABHD14A-ACY1	4.6836e-07
ABHD14B	1.6504e-04
ABHD15	2.9199e-13
ABHD16A	3.8708e-07
ABHD16B	3.4356e-09
ABHD17A	5.6586e-01
ABHD17B	8.5720e-01
ABHD17C	7.6753e-01
ABHD18	1.6276e-01
ABHD2	5.9017e-01
ABHD3	1.1498e-01
ABHD4	9.4828e-05
ABHD5	5.6693e-01
ABHD6	2.4192e-04
ABHD8	6.5404e-01
ABI1	9.9998e-01
ABI2	9.4666e-01
ABI3	4.2710e-02
ABI3BP	2.3457e-01
ABITRAM	1.1694e-03
ABL1	1.0000e+00
ABL2	5.6670e-02
ABLIM1	9.9738e-01
ABLIM2	7.3314e-03
ABLIM3	1.2673e-02
ABO	1.2482e-01
ABR	9.9998e-01
ABRA	9.3408e-07
ABRACL	3.0944e-01
ABRAXAS1	3.3043e-02
ABRAXAS2	4.3101e-01
ABT1	1.3349e-04
ABTB1	2.7160e-05
ABTB2	3.4257e-10
ACAA1	4.9240e-07
ACAA2	6.9078e-02
ACACA	1.0000e+00
ACACB	1.0195e-01
ACAD10	4.3356e-02
ACAD11	4.4694e-15
ACAD8	2.9959e-07
ACAD9	5.4705e-04
ACADL	3.3664e-07
ACADM	9.5303e-06
ACADS	3.4573e-06
ACADSB	1.9589e-03
ACADVL	2.6868e-06
ACAN	1.0000e+00
ACAP1	9.6739e-01
ACAP2	9.9995e-01
ACAP3	7.0617e-10
ACAT1	4.5751e-02
ACAT2	1.8850e-06
ACBD3	5.7705e-03
ACBD4	1.1977e-05
ACBD5	2.9855e-02
ACBD6	1.2148e-05
ACBD7	1.9535e-04
ACCS	7.7486e-02
ACCSL	2.0651e-12
ACD	4.3901e-06
ACE	7.4303e-03
ACE2	9.9769e-01
ACER1	3.4798e-07
ACER2	1.5264e-04
ACER3	8.2794e-01
ACHE	9.8674e-01
ACIN1	1.0000e+00
ACKR1	1.8385e-01
ACKR2	1.1774e-01
ACKR3	9.8125e-01
ACKR4	1.2253e-01
ACLY	1.0000e+00
ACMSD	2.7210e-05
ACO1	1.4898e-14
ACO2	9.9788e-01
ACOD1	5.1812e-03
ACOT1	3.3871e-01
ACOT11	7.1723e-21
ACOT12	1.7089e-06
ACOT13	3.5372e-02
ACOT2	1.2129e-01
ACOT4	9.9130e-06
ACOT6	1.3802e-03
ACOT7	9.9979e-01
ACOT8	3.3822e-02
ACOT9	3.8619e-03
ACOX1	1.1045e-01
ACOX2	6.2852e-05
ACOX3	1.6713e-04
ACOXL	3.4676e-02
ACP1	1.4909e-06
ACP2	1.8688e-01
ACP3	7.3282e-03
ACP4	2.9148e-19
ACP5	1.4117e-01
ACP6	7.7862e-04
ACP7	1.5566e-11
ACR	1.5381e-03
ACRBP	2.5070e-03
ACRV1	4.4209e-02
ACSBG1	4.3034e-01
ACSBG2	4.8928e-01
ACSF2	8.5190e-07
ACSF3	3.0470e-01
ACSL1	9.9511e-01
ACSL3	4.4341e-01
ACSL4	9.8103e-01
ACSL5	1.3356e-06
ACSL6	2.2667e-01
ACSM1	9.9169e-09
ACSM2A	1.8817e-03
ACSM2B	3.6593e-02
ACSM3	3.4153e-01
ACSM4	1.0484e-19
ACSM5	4.1873e-01
ACSM6	1.2907e-07
ACSS1	9.9438e-03
ACSS2	4.5966e-03
ACSS3	1.5879e-02
ACTA1	1.0267e-04
ACTA2	9.9422e-01
ACTB	1.0000e+00
ACTBL2	1.9363e-12
ACTC1	9.7282e-01
ACTG1	7.8176e-01
ACTG2	3.5450e-01
ACTL10	2.7404e-03
ACTL6A	1.0000e+00
ACTL6B	1.5440e-02
ACTL7A	1.0394e-08
ACTL7B	1.8669e-07
ACTL8	6.0084e-01
ACTL9	1.8725e-01
ACTN1	1.0000e+00
ACTN2	9.9996e-01
ACTN3	1.2532e-22
ACTN4	1.0000e+00
ACTR10	7.4682e-03
ACTR1A	9.9999e-01
ACTR1B	7.5583e-05
ACTR2	1.0000e+00
ACTR3	9.9489e-01
ACTR3B	9.9999e-01
ACTR3C	4.0302e-01
ACTR5	1.1953e-12
ACTR6	1.6643e-01
ACTR8	4.4524e-04
ACTRT1	3.7403e-03
ACTRT2	2.8836e-01
ACTRT3	4.6104e-07
ACVR1	2.9999e-01
